carYear,price,hasAccidents,fuelType,mileage
2013,18992,FALSE,2,27794
2013,14288,FALSE,2,88415
2014,11990,FALSE,2,110000
2014,17888,FALSE,0,64654
2013,15093,FALSE,2,49198
2013,24998,FALSE,2,27264
2013,21998,FALSE,2,46240
2013,12500,FALSE,2,91523
2014,18499,TRUE,2,21068
2014,17998,FALSE,2,35545
2014,18705,FALSE,2,43081
2014,12570,FALSE,2,88189
2013,17987,TRUE,2,75791
2014,23919,TRUE,0,39712
2013,13000,TRUE,2,95820
2014,18997,FALSE,0,58358
2014,15944,TRUE,2,36659
2013,14677,FALSE,2,50968
2014,26995,FALSE,2,37100
2013,11995,TRUE,2,102173
2014,14877,FALSE,2,71955
2013,15495,FALSE,2,44163
2014,16976,FALSE,2,51339
2013,17599,TRUE,2,42397
2014,16995,FALSE,2,55876
2014,17990,FALSE,2,67517
2014,19999,FALSE,2,34073
2013,22999,FALSE,2,73283
2013,15300,FALSE,2,64533
2014,14993,FALSE,2,67739
2013,13990,FALSE,2,76444
2014,15995,TRUE,0,67647
2013,13995,FALSE,2,85365
2013,18855,FALSE,2,33051
2013,15755,FALSE,2,69838
2013,21988,FALSE,2,54136
2013,14002,FALSE,2,71667
2013,18999,FALSE,2,24579
2013,20895,FALSE,2,79837
2014,19998,FALSE,2,27981
2013,12495,FALSE,2,94307
2013,18495,FALSE,2,75646
2013,14600,TRUE,2,46272
2013,16150,TRUE,2,40130
2013,16495,FALSE,2,56239
2013,13689,FALSE,2,51224
2014,18413,FALSE,2,42522
2014,16430,FALSE,2,42683
2013,17498,FALSE,2,37519
2013,15998,FALSE,2,60654
2013,17777,FALSE,2,25390
2014,17995,FALSE,2,43115
2014,26895,FALSE,2,51214
2013,19495,FALSE,2,46602
2013,11990,FALSE,2,74120
2013,11906,FALSE,2,97460
2014,14980,TRUE,0,95622
2014,16989,TRUE,2,55657
2014,21690,FALSE,2,78949
2014,21799,TRUE,2,30152
2014,17000,FALSE,2,32679
2013,15981,FALSE,2,49485
2013,19490,FALSE,2,62880
2013,18995,TRUE,2,53994
2014,23500,FALSE,2,47099
2014,24911,FALSE,2,47176
2013,19981,FALSE,2,51042
2014,14981,FALSE,2,72816
2013,13998,FALSE,2,82183
2014,17990,FALSE,2,46592
2014,18895,FALSE,2,23972
2014,23750,FALSE,2,38829
2013,14995,FALSE,2,69087
2013,14850,FALSE,2,67280
2013,12995,FALSE,2,57178
2013,14950,FALSE,2,36040
2013,17950,FALSE,2,43575
2013,15950,FALSE,2,64109
2014,16499,FALSE,0,33165
2014,20998,FALSE,2,26157
2014,25494,FALSE,0,32556
2014,14888,TRUE,0,108910
2013,16500,FALSE,2,58235
2013,11999,FALSE,2,112337
2014,18998,FALSE,2,24449
2014,18980,TRUE,2,35745
2013,13980,TRUE,2,78297
2013,17950,FALSE,2,29497
2013,12293,FALSE,2,104000
2014,16881,TRUE,2,37875
2014,13900,FALSE,2,39005
2014,13900,FALSE,2,73312
